resource,technology,location,contract,period,planned_installed_capacity
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2030,1912.40555002
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2020,1514.534439249999
Contracted_NW_Wind,Wind,NW,CAISO,2025,3529.461260946999
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2020,129.0
Tehachapi_Wind,Wind,CAISO,CAISO,2030,354.0
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2030,1450.2969392499986
Central_Valley_North_Los_Banos_Wind,Wind,CAISO,CAISO,2025,151.2619048
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2020,1241.9779999999998
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2025,1135.4579999999996
Tehachapi_Solar,Solar,CAISO,CAISO,2030,3137.76857147
Central_Valley_North_Los_Banos_Wind,Wind,CAISO,CAISO,2030,151.2619048
Contracted_NW_Biomass,Biomass,NW,CAISO,2016,80.5996
Riverside_East_Palm_Springs_Solar,Solar,CAISO,CAISO,2030,140.380952381
Contracted_NW_Wind,Wind,NW,CAISO,2020,3619.5686303969997
Contracted_InState_Wind,Wind,CAISO,CAISO,2030,6449.295200000001
Northern_California_Wind,Wind,CAISO,CAISO,2030,41.56452381
Northern_California_Wind,Wind,CAISO,CAISO,2025,41.56452381
Greater_Imperial_Wind,Wind,CAISO,CAISO,2020,338.0720318
Contracted_SW_Solar,Solar,SW,CAISO,2016,1280.0
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2025,129.0
Mountain_Pass_El_Dorado_Solar,Solar,CAISO,CAISO,2025,241.7233342
Tehachapi_Wind,Wind,CAISO,CAISO,2025,195.0
Contracted_NW_Biomass,Biomass,NW,CAISO,2025,80.5996
Contracted_InState_Solar,Solar,CAISO,CAISO,2030,10451.593582569994
Distributed_Wind,Wind,CAISO,CAISO,2030,37.33
Distributed_Wind,Wind,CAISO,CAISO,2025,18.23
Contracted_SW_Wind,Wind,SW,CAISO,2016,324.29999999999995
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2025,1443.6594392499985
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2016,1456.43243925
Contracted_SW_Wind,Wind,SW,CAISO,2025,324.29999999999995
Tehachapi_Solar,Solar,CAISO,CAISO,2025,2106.292381
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2016,1760.47555
Contracted_SW_Wind,Wind,SW,CAISO,2030,324.29999999999995
Contracted_NW_Biomass,Biomass,NW,CAISO,2020,80.5996
Riverside_East_Palm_Springs_Wind,Wind,CAISO,CAISO,2030,270.99999997
Contracted_InState_Wind,Wind,CAISO,CAISO,2025,6549.8052000000025
Contracted_InState_Wind,Wind,CAISO,CAISO,2016,6561.2702
Greater_Imperial_Wind,Wind,CAISO,CAISO,2025,457.319047651
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2030,1143.2379999999996
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2016,135.0
Contracted_SW_Solar,Solar,SW,CAISO,2020,1738.415
Riverside_East_Palm_Springs_Wind,Wind,CAISO,CAISO,2020,188.99999997
Contracted_SW_Wind,Wind,SW,CAISO,2020,324.29999999999995
Contracted_InState_Solar,Solar,CAISO,CAISO,2020,10480.466527999994
Distributed_Wind,Wind,CAISO,CAISO,2020,12.5
Wyoming_Wind,Wind,NW,CAISO,2030,1466.3287835
Greater_Imperial_Wind,Wind,CAISO,CAISO,2030,457.319047651
Mountain_Pass_El_Dorado_Solar,Solar,CAISO,CAISO,2030,289.00000004000003
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2020,1773.80555
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2030,129.0
Westlands_Solar,Solar,CAISO,CAISO,2030,249.42276191500002
Riverside_East_Palm_Springs_Solar,Solar,CAISO,CAISO,2025,134.0
Contracted_InState_Wind,Wind,CAISO,CAISO,2020,6528.5202
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2025,1693.4055500199997
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2016,1149.4979999999998
Tehachapi_Solar,Solar,CAISO,CAISO,2020,132.3965087
Riverside_East_Palm_Springs_Wind,Wind,CAISO,CAISO,2025,270.99999997
Contracted_NW_Biomass,Biomass,NW,CAISO,2030,80.5996
Contracted_SW_Solar,Solar,SW,CAISO,2025,1738.415
Contracted_NW_Wind,Wind,NW,CAISO,2030,3770.2686303969995
Solano_Wind,Wind,CAISO,CAISO,2030,1238.0
Contracted_NW_Wind,Wind,NW,CAISO,2016,3619.5686303969997
Contracted_InState_Solar,Solar,CAISO,CAISO,2025,10400.393527999995
Contracted_SW_Solar,Solar,SW,CAISO,2030,1738.415
Contracted_InState_Solar,Solar,CAISO,CAISO,2016,8572.193527999996
